type	timestamp	epoch	step	train_accuracy	predict_labels	actual_labels
train	20200410134932	5	42	0.9880952	[2 0 0 2 1 1 2 2]	[2 0 0 2 1 1 2 2]
train	20200410134943	5	43	0.9883721	[0 0 1 0 2 2 2 0]	[0 0 1 0 2 2 2 0]
train	20200410134953	5	44	0.9886364	[2 2 2 2 0 2 2 2]	[2 2 2 2 0 2 2 2]
train	20200410135004	5	45	0.98888886	[2 1 0 1 2 2 2 2]	[2 1 0 1 2 2 2 2]
train	20200410135015	5	46	0.98913044	[2 0 2 2 0 2 1 0]	[2 0 2 2 0 2 1 0]
train	20200410135025	5	47	0.9893617	[2 0 2 0 1 2 1 1]	[2 0 2 0 1 2 1 1]
train	20200410135036	5	48	0.9895833	[2 0 1 0 0 0 2 1]	[2 0 1 0 0 0 2 1]
train	20200410135047	5	49	0.9872449	[0 2 2 1 0 2 2 2]	[0 2 2 0 0 2 2 2]
train	20200410135058	5	50	0.9875	[0 1 2 2 2 1 1 0]	[0 1 2 2 2 1 1 0]
train	20200410135109	5	51	0.9877451	[0 2 2 2 1 0 2 0]	[0 2 2 2 1 0 2 0]
train	20200410135120	5	52	0.9879808	[0 2 2 0 0 0 0 1]	[0 2 2 0 0 0 0 1]
train	20200410135131	5	53	0.9882075	[0 0 1 2 1 1 0 2]	[0 0 1 2 1 1 0 2]
train	20200410135142	5	54	0.9884259	[0 2 2 1 1 0 2 0]	[0 2 2 1 1 0 2 0]
train	20200410135152	5	55	0.9886364	[0 1 2 0 1 2 2 0]	[0 1 2 0 1 2 2 0]
train	20200410135203	5	56	0.98883927	[2 1 2 2 2 0 2 2]	[2 1 2 2 2 0 2 2]
train	20200410135214	5	57	0.98903507	[2 2 0 1 0 0 0 1]	[2 2 0 1 0 0 0 1]
train	20200410135220	5	58	0.98915404	[2 2 0 1 0]	[2 2 0 1 0]
train	20200410135358	6	1	0.875	[2 2 1 1 2 2 0 2]	[2 2 1 1 2 2 1 2]
train	20200410135409	6	2	0.9375	[0 2 0 0 2 1 2 0]	[0 2 0 0 2 1 2 0]
train	20200410135421	6	3	0.9583333	[1 0 1 2 2 1 0 2]	[1 0 1 2 2 1 0 2]
train	20200410135435	6	4	0.96875	[1 1 2 2 2 0 1 2]	[1 1 2 2 2 0 1 2]
train	20200410135453	6	5	0.975	[0 2 2 0 0 1 0 2]	[0 2 2 0 0 1 0 2]
train	20200410135504	6	6	0.9791667	[2 1 0 0 0 2 2 2]	[2 1 0 0 0 2 2 2]
